City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,praia da vitoria,38.7333,-27.0667,13.14,71,75,8.18,PT,['dt']
205,constantine,36.365,6.6147,10.67,62,75,4.12,DZ,['dt']
206,anloga,5.7947,0.8973,27.5,81,88,6.44,GH,['dt']
207,mecca,21.4267,39.8261,19.52,51,100,5.26,SA,['dt']
208,sangar,63.9242,127.4739,-40.97,99,100,0.84,RU,['dt']
209,chuy,-33.6971,-53.4616,28.99,47,0,5.78,UY,['dt']
210,ballina,-28.8667,153.5667,18.9,99,100,1.95,AU,['dt']
211,norman wells,65.282,-126.8329,-23.98,77,75,0.0,CA,['dt']
212,dogondoutchi,13.6393,4.0287,28.61,11,100,3.93,NE,['dt']
213,el campo,29.1966,-96.2697,24.35,73,100,9.77,US,['dt']
214,katsuura,35.1333,140.3,10.23,85,100,6.75,JP,['dt']
215,senanga,-16.1167,23.2667,19.83,95,100,2.15,ZM,['dt']
216,roswell,34.0232,-84.3616,19.89,42,0,2.57,US,['dt']
217,kashi,39.4547,75.9797,0.56,74,0,2.0,CN,['dt']
218,ofunato,39.0717,141.7167,2.22,95,100,3.24,JP,['dt']
219,mar del plata,-38.0023,-57.5575,29.9,78,0,6.26,AR,['dt']
220,mantua,45.1667,10.7833,3.53,76,1,2.15,IT,['dt']
221,hami,42.8,93.45,0.85,48,100,2.11,CN,['dt']
222,kenai,60.5544,-151.2583,-2.7,95,100,3.6,US,['dt']
223,rawah,34.4816,41.9093,9.62,48,13,4.45,IQ,['dt']
224,ugoofaaru,5.6667,73.0,27.36,69,79,4.23,MV,['dt']
225,broome,42.2506,-75.833,5.81,63,100,4.47,US,['dt']
226,kieta,-6.2167,155.6333,26.42,84,100,2.38,PG,['dt']
227,karratha,-20.7377,116.8463,30.34,58,10,3.37,AU,['dt']
228,faanui,-16.4833,-151.75,26.78,76,14,5.45,PF,['dt']
229,severnoye,56.3491,78.3619,-20.74,100,100,2.04,RU,['dt']
230,sao filipe,14.8961,-24.4956,20.97,63,1,7.66,CV,['dt']
231,kasongo-lunda,-6.4667,16.8167,23.09,80,43,1.44,CD,['dt']
232,los llanos de aridane,28.6585,-17.9182,14.86,76,75,7.72,ES,['dt']
233,baykalsk,51.5058,104.1469,-13.21,79,89,3.09,RU,['dt']
234,namibe,-15.1961,12.1522,22.32,73,92,5.11,AO,['dt']
235,castro,-24.7911,-50.0119,27.29,44,9,1.16,BR,['dt']
236,presidente epitacio,-21.7633,-52.1156,27.73,69,98,4.03,BR,['dt']
237,port blair,11.6667,92.75,27.02,78,40,2.06,IN,['dt']
238,skrunda,56.6833,22.0167,-0.9,92,100,2.79,LV,['dt']
239,opuwo,-18.0607,13.84,23.53,44,100,6.38,NA,['dt']
240,shahr-e kord,32.3256,50.8644,0.87,93,40,4.12,IR,['dt']
241,gizo,-8.103,156.8419,27.7,79,99,5.63,SB,['dt']
242,seoul,37.5683,126.9778,-1.31,97,0,1.03,KR,['dt']
243,azare,11.6765,10.1948,24.47,18,16,4.32,NG,['dt']
244,santander,43.4647,-3.8044,5.81,88,20,2.68,ES,['dt']
245,isla mujeres,21.2311,-86.731,28.98,71,0,6.5,MX,['dt']
246,krasnogorodsk,56.8357,28.2822,-2.64,84,82,3.0,RU,['dt']
247,asau,46.4333,26.4,-3.49,96,100,2.17,RO,['dt']
248,zhezkazgan,47.8043,67.7144,-17.01,78,75,3.0,KZ,['dt']
249,victoria point,-27.5833,153.3,22.73,81,99,0.45,AU,['dt']
250,cherskiy,68.75,161.3,-35.48,99,100,2.2,RU,['dt']
251,addis abeba,9.025,38.7469,14.49,25,0,6.17,ET,['dt']
252,kavaratti,10.5669,72.642,26.85,69,86,4.0,IN,['dt']
253,paamiut,61.994,-49.6678,-14.66,74,100,3.31,GL,['dt']
254,barcelona,41.3888,2.159,12.05,75,75,11.83,ES,['dt']
255,vilhena,-12.7406,-60.1458,25.12,83,75,6.69,BR,['dt']
256,taoudenni,22.6783,-3.9836,22.57,17,96,4.31,ML,['dt']
257,bihariganj,25.7333,86.9833,15.71,58,0,1.19,IN,['dt']
258,petropavlovsk-kamchatskiy,53.0452,158.6483,-21.67,77,0,2.0,RU,['dt']
259,walvis bay,-22.9575,14.5053,20.05,80,27,3.08,NA,['dt']
260,mosetse,-20.75,26.65,26.45,40,82,2.61,BW,['dt']
261,hilliard,40.0334,-83.1582,14.61,49,40,9.26,US,['dt']
262,northam,51.0333,-4.2167,4.23,78,4,1.96,GB,['dt']
263,sampit,-2.5333,112.95,23.41,93,100,0.52,ID,['dt']
264,lagos,6.5833,3.75,29.18,77,100,3.43,NG,['dt']
265,sikeston,36.8767,-89.5879,14.98,82,100,5.14,US,['dt']
266,katobu,-4.9408,122.5276,24.33,88,99,0.7,ID,['dt']
267,churapcha,62.0025,132.4325,-40.55,100,100,0.68,RU,['dt']
268,macamic,48.7502,-78.9996,-1.16,97,100,5.89,CA,['dt']
269,upata,8.0086,-62.3989,27.33,52,100,1.85,VE,['dt']
270,kloulklubed,7.0419,134.2556,24.28,77,100,7.22,PW,['dt']
271,homer,59.6425,-151.5483,-0.07,96,100,1.54,US,['dt']
272,kaitangata,-46.2817,169.8464,11.24,76,99,5.1,NZ,['dt']
273,dunedin,-45.8742,170.5036,12.52,65,8,4.81,NZ,['dt']
274,nouadhibou,20.931,-17.0347,20.99,52,0,7.72,MR,['dt']
275,rafai,4.95,23.9167,25.41,20,14,0.97,CF,['dt']
276,huilong,31.8111,121.655,5.52,88,97,3.58,CN,['dt']
277,miandrivazo,-19.5167,45.4667,26.1,83,100,1.13,MG,['dt']
278,ayan,56.45,138.1667,-31.23,81,24,3.94,RU,['dt']
279,faya,18.3851,42.4509,15.06,80,33,2.76,SA,['dt']
280,longyearbyen,78.2186,15.6401,-5.09,86,75,19.55,SJ,['dt']
281,alofi,-19.0595,-169.9187,26.44,72,100,1.22,NU,['dt']
282,sena madureira,-9.0656,-68.6569,27.83,72,77,0.85,BR,['dt']
283,port lincoln,-34.7333,135.8667,17.96,82,5,6.2,AU,['dt']
284,clovis,36.8252,-119.7029,15.47,73,75,3.09,US,['dt']
285,rio claro,-22.4114,-47.5614,29.17,73,100,2.28,BR,['dt']
286,nishiwaki,34.9833,134.9667,6.66,89,6,1.75,JP,['dt']
287,mersing,2.4312,103.8405,24.83,87,100,3.02,MY,['dt']
288,turukhansk,65.8167,87.9833,-14.87,96,100,3.1,RU,['dt']
289,san patricio,28.017,-97.5169,25.92,73,100,7.98,US,['dt']
290,port keats,-14.25,129.55,27.65,75,1,4.02,AU,['dt']
291,neiafu,-18.65,-173.9833,24.38,94,75,5.14,TO,['dt']
292,xichang,27.8964,102.2634,6.31,77,33,1.07,CN,['dt']
293,noumea,-22.2763,166.4572,22.99,82,100,3.63,NC,['dt']
294,grindavik,63.8424,-22.4338,-3.03,93,75,10.8,IS,['dt']
295,springfield,37.2153,-93.2982,7.41,86,100,1.54,US,['dt']
296,kozhva,65.1073,57.0459,-12.92,91,100,6.34,RU,['dt']
297,uusikaupunki,60.8004,21.4084,1.43,96,100,4.73,FI,['dt']
298,dombarovskiy,50.7587,59.5386,-20.59,100,26,2.92,RU,['dt']
299,ariano irpino,41.1489,15.0833,-1.69,68,20,4.12,IT,['dt']
300,douentza,14.9951,-2.9517,31.22,11,100,2.97,ML,['dt']
301,bandarbeyla,9.4942,50.8122,24.83,72,73,6.09,SO,['dt']
302,nanzhang,31.7765,111.8386,9.3,86,100,1.24,CN,['dt']
303,codrington,-38.2667,141.9667,12.19,88,100,3.75,AU,['dt']
304,vila velha,-20.3297,-40.2925,30.97,75,20,7.2,BR,['dt']
305,tahoua,14.8888,5.2692,30.99,11,0,3.09,NE,['dt']
306,ixtapa,20.7,-105.2,29.96,33,21,3.37,MX,['dt']
307,sanica,44.6142,16.6411,-4.03,80,74,0.58,BA,['dt']
308,cabo san lucas,22.8909,-109.9124,25.59,62,100,1.34,MX,['dt']
309,prince albert,53.2001,-105.7677,3.97,60,40,5.14,CA,['dt']
310,hasaki,35.7333,140.8333,8.22,85,99,10.43,JP,['dt']
311,portland,45.5234,-122.6762,9.05,90,100,5.81,US,['dt']
312,svetlogorsk,52.6333,29.7333,-10.15,97,19,1.9,BY,['dt']
313,kargasok,59.0556,80.8572,-18.8,99,89,2.8,RU,['dt']
314,adrar,20.5022,-10.0711,19.54,17,66,4.95,MR,['dt']
315,itoman,26.1247,127.6694,20.01,83,75,5.14,JP,['dt']
316,samana,19.2056,-69.3369,30.12,70,40,4.12,DO,['dt']
317,olafsvik,64.8945,-23.7142,-2.06,56,100,16.6,IS,['dt']
318,iwaki,37.05,140.8833,5.43,92,100,4.37,JP,['dt']
319,lucapa,-8.4192,20.7447,19.71,89,100,1.09,AO,['dt']
320,zhigansk,66.7697,123.3711,-47.06,100,90,1.35,RU,['dt']
321,gushikawa,26.3544,127.8686,19.57,88,75,0.0,JP,['dt']
322,kahului,20.8947,-156.47,24.36,82,20,6.26,US,['dt']
323,kirkwall,58.9848,-2.9587,6.03,75,20,7.2,GB,['dt']
324,montclair,40.8259,-74.209,5.96,55,0,4.63,US,['dt']
325,saint anthony,45.0205,-93.218,1.8,66,0,7.72,US,['dt']
326,mata,40.683,-7.4592,7.18,70,21,1.99,PT,['dt']
327,barentu,15.1139,37.5928,20.89,53,3,4.13,ER,['dt']
328,kirakira,-10.4544,161.9205,26.89,88,100,4.68,SB,['dt']
329,esil,51.9556,66.4042,-16.2,98,94,1.6,KZ,['dt']
330,senno,59.5336,33.9167,-7.93,96,100,3.67,RU,['dt']
331,manta,-0.95,-80.7333,29.88,66,40,4.12,EC,['dt']
332,khasan,42.4308,130.6434,-6.0,73,31,2.53,RU,['dt']
333,qiongshan,20.0058,110.3542,21.99,94,40,2.0,CN,['dt']
334,chiredzi,-21.05,31.6667,24.14,59,7,2.61,ZW,['dt']
335,ouango,4.3133,22.5552,26.24,22,9,1.21,CF,['dt']
336,mahon,39.8885,4.2658,11.31,82,75,10.8,ES,['dt']
337,nagapattinam,10.7667,79.8333,23.65,80,82,3.87,IN,['dt']
338,itarema,-2.9248,-39.9167,28.04,71,100,5.6,BR,['dt']
339,tselinnoye,53.0833,85.6667,-7.91,97,100,2.59,RU,['dt']
340,maningrida,-12.0667,134.2667,25.43,86,100,3.09,AU,['dt']
341,beyneu,45.3167,55.2,0.62,81,100,11.3,KZ,['dt']
342,puerto carreno,6.189,-67.4859,33.99,46,40,4.12,CO,['dt']
343,ossora,59.2353,163.0719,-28.4,88,98,2.41,RU,['dt']
344,merta,26.65,74.0333,15.71,35,1,1.06,IN,['dt']
345,shihezi,44.3,86.0333,-7.9,97,100,0.41,CN,['dt']
346,ojinaga,29.5667,-104.4167,18.65,31,0,2.57,MX,['dt']
347,kendari,-3.945,122.4989,24.35,89,100,0.85,ID,['dt']
348,mandalgovi,45.7625,106.2708,-15.13,95,13,2.06,MN,['dt']
349,klaksvik,62.2266,-6.589,7.51,81,100,21.45,FO,['dt']
350,partizanskoye,55.5006,94.39,-9.81,93,100,1.61,RU,['dt']
351,vrangel,42.7297,133.0839,-6.43,60,100,2.59,RU,['dt']
352,keetmanshoop,-26.5833,18.1333,27.92,40,21,5.66,NA,['dt']
353,half moon bay,37.4636,-122.4286,15.49,69,0,2.57,US,['dt']
354,lata,40.1629,-8.3327,11.56,69,5,0.96,PT,['dt']
355,floro,61.5996,5.0328,6.65,87,75,4.63,NO,['dt']
356,zeya,53.75,127.2667,-33.85,95,22,1.55,RU,['dt']
357,pirovskoye,57.6267,92.2658,-9.05,95,100,2.97,RU,['dt']
358,lakhdenpokhya,61.5198,30.1992,-1.55,91,100,4.72,RU,['dt']
359,alihe,50.5667,123.7167,-23.82,98,100,1.35,CN,['dt']
360,ostrovnoy,68.0531,39.5131,2.57,98,100,12.66,RU,['dt']
361,acari,-15.4311,-74.6158,30.36,54,23,5.76,PE,['dt']
362,buraydah,26.326,43.975,14.25,37,100,3.26,SA,['dt']
363,vardo,70.3705,31.1107,0.99,80,0,16.98,NO,['dt']
364,mindelo,16.8901,-24.9804,21.75,43,40,12.86,CV,['dt']
365,seydi,39.4816,62.9137,10.21,42,97,6.65,TM,['dt']
366,berasia,23.6333,77.4333,16.25,24,0,2.63,IN,['dt']
